amount,payment_method,hour,day_of_week,account_age_days,total_transactions,avg_transaction_amount,failed_transactions,previous_fraud_count,transactions_last_5min,transactions_last_1hour,transactions_last_24hours,amount_last_1hour,time_since_last_transaction,new_receiver,fraud
1802.11,UPI,20,6,800,39,567.52,1,0,0,1,7,2450.09,4784.6457690557845,0,0
955.02,UPI,5,4,942,45,378.75,1,2,1,2,6,440.84,2681.2586165571806,0,0
2095.8,UPI,17,2,46,39,609.44,2,0,0,0,4,6052.45,578.3080010827829,0,0
5029.27,UPI,1,4,688,46,1418.05,3,0,1,7,8,602.71,6630.554793939205,1,0
867.7,ACCOUNT,0,1,1439,30,331.16,2,0,0,3,7,187.57,430.98577602717023,0,0
867.71,ACCOUNT,14,6,643,33,3687.66,1,0,1,2,8,873.67,7333.302648333078,0,0
5319.92,ACCOUNT,14,5,1287,38,892.81,1,0,1,5,8,1073.36,6132.118381522849,1,0
2362.4,UPI,19,6,1463,39,485.66,1,0,0,3,7,2664.98,6824.107398650105,0,0
685.76,ACCOUNT,8,2,149,40,228.05,1,0,1,1,5,6670.94,1511.4979851372448,0,0
1886.65,UPI,21,4,638,39,295.18,0,0,0,5,16,38.62,26.10380472725012,0,0
689.92,UPI,4,0,555,55,388.25,4,0,0,4,6,174.18,213.44889218610126,0,0
688.33,UPI,22,3,1054,36,2170.48,3,0,0,1,12,8251.56,120.09862484432567,0,0
1396.83,ACCOUNT,0,4,1377,50,1383.31,2,0,1,0,10,1617.06,5876.029607886165,1,0
161.86,UPI,21,3,68,42,185.27,3,1,2,2,14,795.64,762.1476548423116,0,0
195.41,UPI,19,6,822,36,459.37,3,0,1,2,2,1197.62,90.46353467316698,1,0
624.98,UPI,15,6,1456,36,474.38,1,0,3,2,7,260.79,619.5812709684994,0,0
398.29,ACCOUNT,9,6,1368,31,896.87,0,1,0,3,8,5832.68,623.8598248635099,0,0
1501.54,ACCOUNT,17,1,55,49,962.4,5,0,1,4,4,1806.88,4376.953287450631,0,0
442.29,UPI,2,0,148,47,749.96,2,0,0,1,7,124.33,817.2324586895124,1,0
267.12,UPI,19,1,1244,55,127.43,2,0,0,2,6,224.65,191.27062569895253,1,0
4748.81,ACCOUNT,23,6,549,45,1087.72,0,0,2,2,4,214.92,3602.0803626004945,0,0
875.0,UPI,6,2,163,41,1747.54,4,0,2,6,4,1750.78,2152.056497454651,1,0
1173.24,ACCOUNT,22,4,188,37,589.33,1,0,0,0,7,7344.32,1511.1780130145798,0,0
263.82,UPI,21,1,458,33,1378.16,3,0,0,2,10,138.78,2967.6528692682864,1,0
636.27,ACCOUNT,4,3,1036,46,3523.13,1,1,0,1,9,1243.73,6882.070658449589,1,0
1225.28,UPI,5,1,1209,50,1546.19,0,0,1,2,10,784.99,12.966166015233226,0,0
346.89,UPI,12,1,1252,40,137.79,2,0,0,1,4,2006.14,4666.261580428205,1,0
1596.71,UPI,13,5,931,41,1568.41,2,0,0,1,9,622.38,4764.119344504481,0,0
