amount,payment_method,hour,day_of_week,account_age_days,total_transactions,avg_transaction_amount,failed_transactions,previous_fraud_count,transactions_last_5min,transactions_last_1hour,transactions_last_24hours,amount_last_1hour,time_since_last_transaction,new_receiver,amount_ratio,velocity_5min_ratio,fraud
399.48,UPI,22,6,134,65,563.84,1,1,0,0,5,0.0,1013.23,0,0.7072,0.0,0
284.64,UPI,13,2,1161,44,1175.93,0,0,0,0,5,0.0,2008.51,0,0.2418,0.0,0
377.07,UPI,19,6,982,53,932.0,2,0,1,3,6,2711.46,6291.73,0,0.4041,0.1429,0
2098.18,ACCOUNT,19,4,658,59,2941.36,1,0,0,0,9,0.0,1850.9,1,0.7131,0.0,0
10267.09,UPI,15,1,650,52,1955.18,1,0,0,0,2,0.0,4825.42,0,5.2485,0.0,0
301.82,UPI,13,1,1288,63,642.36,1,0,0,1,3,560.24,363.89,1,0.4691,0.0,0
2345.13,UPI,18,0,129,36,1819.75,2,0,0,0,2,0.0,7082.54,0,1.288,0.0,0
287.71,UPI,22,5,1046,44,199.99,0,0,0,1,7,111.05,4786.17,0,1.4315,0.0,0
1723.63,UPI,22,3,303,62,1290.84,1,0,0,2,10,2266.7,7207.33,0,1.3342,0.0,0
2101.26,ACCOUNT,15,3,142,40,1733.0,1,0,0,0,5,0.0,3067.55,1,1.2118,0.0,1
5473.13,ACCOUNT,15,6,790,45,2071.26,0,0,0,0,5,0.0,2932.26,1,2.6411,0.0,0
653.41,UPI,9,6,1463,54,1920.5,3,0,0,0,5,0.0,3746.42,0,0.3401,0.0,0
3992.54,UPI,10,6,1103,63,3577.8,2,0,0,1,1,3050.43,7711.41,0,1.1156,0.0,0
1463.0,UPI,15,2,1141,40,389.7,1,0,1,1,4,376.06,1099.74,0,3.7446,0.2,1
1786.65,UPI,3,0,1076,49,1066.31,3,0,0,0,3,0.0,7263.18,0,1.674,0.0,0
940.36,ACCOUNT,12,1,1179,49,1343.93,1,0,0,0,3,0.0,1080.45,0,0.6992,0.0,0
583.49,ACCOUNT,10,0,770,47,1184.53,3,0,1,5,8,7668.93,2051.58,1,0.4922,0.1111,0
2239.12,ACCOUNT,2,1,193,60,1312.21,0,0,0,1,6,936.98,10292.37,0,1.7051,0.0,1
2905.82,UPI,4,0,1259,46,383.1,1,0,1,2,7,434.64,1512.82,0,7.5653,0.125,0
567.27,ACCOUNT,4,6,676,41,522.39,1,0,1,2,6,1559.95,3045.77,0,1.0839,0.1429,0
499.43,UPI,0,6,751,51,672.3,0,0,0,0,8,0.0,732.39,0,0.7418,0.0,0
657.31,UPI,22,6,556,49,1393.04,1,0,0,3,11,2197.7,4421.6,0,0.4715,0.0,0
265.13,ACCOUNT,6,5,274,51,1483.7,3,0,1,4,10,7957.99,7183.4,1,0.1786,0.0909,0
9004.36,ACCOUNT,8,2,1390,50,6293.21,1,0,0,1,3,7155.56,2747.96,0,1.4306,0.0,0
424.87,UPI,2,3,1172,48,572.08,1,0,0,0,4,0.0,4502.91,0,0.7414,0.0,0
2854.23,UPI,12,1,966,55,1440.62,1,0,0,1,9,1432.35,8668.35,0,1.9799,0.0,0
1936.44,UPI,6,3,604,58,1849.3,3,0,1,1,5,2584.36,962.79,0,1.0466,0.1667,0
